PWS ID (Links to Records),Name,Reports/Notices,County,Status,Federal Type,State Source Type,Water Hauler,Population,Service Connections,Dist Operator,Treatment Operator,Admin Contact,Emails,Phone Numbers
CO0160295,DIVIDE MPC MD NO 1,Reports,TELLER,A,Community,Groundwater,No,679,67,LAWRENCE E WATTERS,LAWRENCE E WATTERS,LISA HARRISON,LISAHARRISON@BAJABB.COM;,(BUS) 719-687-3085;
CO0160275,DIVIDE SOUTH,Reports,TELLER,A,Community,Groundwater UDI Surface Water,No,60,30,LAWRENCE E WATTERS,LAWRENCE E WATTERS,DAN PETERJOHN,uhlan@aol.com;,(BUS) 719-686-1685;
CO0160195,DIVIDE WATER PROVIDERS INC,Reports,TELLER,A,Community,Groundwater,No,570,76,LOUIS LEMMON,LOUIS LEMMON,TAMMY BAILEY,tammy@pkenterprisesinc.com;,(BUS) 719-687-6011;
CO0142400,DOLORES TOWN OF,Reports,MONTEZUMA,A,Community,Surface Water,No,1626,540,RANDY N MCGUIRE,EDWARD C KRAMER,KEN CHARLES,MANAGER@TOWNOFDOLORES.COM;,(BUS) 970-882-7720;
CO0118021,DOMINION WSD,Reports,DOUGLAS,A,Community,Purchased Surface Water,No,2974,1000,MIKE MARCUM,MIKE MARCUM,ANDREA COLE,ANDREA.COLE@DOMINIONWSD.COM;,(BUS) 720-531-4210;
CO0121175,DONALA WSD,Reports,EL PASO,A,Community,Groundwater,No,6600,2800,JEFFERY W HODGE,JEFFERY W HODGE,JEFFERY W HODGE,GM@DONALAWATER.COM;,(BUS) 719-488-3603;
CO0119501,DOTSERO MHP,Reports,EAGLE,A,Community,Groundwater,No,229,96,ALAN D LESLIE,ALAN D LESLIE,JIM CONDIT,jimmycondit@gmail.com;,(BUS) 970-927-3378;
CO0117300,DOVE CREEK TOWN OF,Reports,DOLORES,A,Community,Surface Water,No,850,270,DAGAN CHADD,EDWARD C KRAMER,SONNY FRAZIER,towndc@centurytel.net;,(BUS) 970-677-2255;
CO0234380,DURANGO 9 R FLORIDA MESA SCHOOL,Reports,LA PLATA,A,"Non-Transient, Non-Community",Groundwater,No,410,2,DEB HALL,DEB HALL,SAMANTHA GALLAGHER,SGALLAGHER@DURANGOCHOOLS.ORG;,(BUS) 970-379-3810;
CO0234820,DURANGO 9R SUNNYSIDE ELEMENTARY SCHOOL,Reports,LA PLATA,A,"Non-Transient, Non-Community",Groundwater,No,192,1,DEB HALL,DEB HALL,SAMANTHA GALLAGHER,SGALLAGHER@DURANGOCHOOLS.ORG;,(BUS) 970-379-3810;
CO0134150,DURANGO CITY OF,Reports,LA PLATA,A,Community,Surface Water,No,35150,7631,COREY YOUNT,DAVE FERGUSON,JARROD BIGGS,JARROD.BIGGS@DURANGOGOV.ORG;,(BUS) 970-375-4805;
CO0134225,DURANGO FALFA MHC LLC,Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,40,17,OLIVER M AMATO,OLIVER M AMATO,OLIVER M AMATO,omamato@bresnan.net;,(BUS) 970-247-2429;
CO0134510,"DURANGO JCMHP, LLC",Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,100,40,OLIVER M AMATO,OLIVER M AMATO,OLIVER M AMATO,omamato@bresnan.net;,(BUS) 970-247-2429;
CO0234480,DURANGO LA PLATA AIRPORT,Reports,LA PLATA,A,"Non-Transient, Non-Community",Groundwater UDI Surface Water,No,780,15,DAVID MILLER,DAVID MILLER,DAVID MILLER,DAVID.MILLER@DURANGOGOV.ORG;,(BUS) 970-382-6061;
CO0134176,DURANGO NORTH VILLAGE,Reports,LA PLATA,A,Community,Purchased Groundwater,No,150,65,KEVIN JONES,null,KEVIN JONES,dgonvillage@yahoo.com;,(BUS) 970-259-2205;
CO0134390,DURANGO REGENCY MHP,Reports,LA PLATA,A,Community,Groundwater,No,200,130,EVAN CURRY,EVAN CURRY,EVAN CURRY,EVANC.AWC@GMAIL.COM;,(BUS) 201-562-0223;
CO0134180,DURANGO WEST MD NO 1,Reports,LA PLATA,A,Community,Groundwater,No,750,253,EDWARD C KRAMER,EDWARD C KRAMER,JANET ANDERSON,dw1@mydurango.net;,(BUS) 970-259-4267;
CO0134190,DURANGO WEST MD NO 2,Reports,LA PLATA,A,Community,Groundwater,No,930,357,DAVID W MARSA,DAVID W MARSA,JANE LOONEY,dw2@mydurango.net;,(BUS) 970-259-3946;
CO0218233,E AND C PRECAST CONCRETE INC,Reports,DOUGLAS,A,"Non-Transient, Non-Community",Groundwater,No,35,4,WILL S PARKER,WILL S PARKER,WILL S PARKER,WILLSEMOCOR@HOTMAIL.COM;,(BUS) 303-681-2253;
CO0131400,EADS TOWN OF,Reports,KIOWA,A,Community,Groundwater,No,622,675,VAN H BROWN JR,VAN H BROWN JR,VAN H BROWN JR,Vanbrown@hotmail.com; TOWNOFEADS10@GMAIL.COM;,(BUS) 719-688-7294; (BUS) 719-438-5590;
CO0162234,EAGLE CREST MHP,Reports,WELD,A,Community,Purchased Surface Water,No,441,442,RICHARD L HOPP,null,JULIE LOWE,jlowe@suncommunities.com;,(BUS) 303-776-3135; (BUS) 720-403-9923;
CO0119234,EAGLE RIVER VILLAGE MHP,Reports,EAGLE,A,Community,Groundwater,No,1500,379,JOHN VOLK,JOHN VOLK,JESSICA MCCOY,jessicam@ascentia.us;,(BUS) 303-730-2000;
CO0119802,EAGLE RIVER WSD,Reports,EAGLE,A,Community,Surface Water,No,28620,2639,MICHAEL A THOMPSON,ANDREW KIRSCH,BRAD ZACHMAN,bzachman@erwsd.org;,(BUS) 970-446-6701;
CO0119233,EAGLE TOWN OF,Reports,EAGLE,A,Community,Surface Water,No,6961,2913,KYLE ANDERSON,KYLE ANDERSON,KYLE ANDERSON,KYLE.ANDERSON@TOWNOFEAGLE.ORG; KYLERADO@GMAIL.COM; 0020GREENACRES@GMAIL.COM;,(BUS) 970-328-6678; (BUS) 970-471-0848;
CO0129233,EAGLES WATCH HOA,Reports,JACKSON,A,Community,Groundwater,No,83,27,MARK RUSSELL,MARK RUSSELL,MARK RUSSELL,biosolid@hotmail.com;,(BUS) 970-723-4344;
CO0143233,EARLES SUBDIVISION WC,Reports,MONTROSE,A,Community,Groundwater,No,40,12,BENNY ARCHULETA,BENNY ARCHULETA,DUBY ARCHULETA,aimearchuleta@outlook.com;,(BUS) 970-596-5899;
CO0102200,EAST ALAMOSA,Reports,ALAMOSA,A,Community,Purchased Groundwater,No,1698,357,ROY SANCHEZ,ROY SANCHEZ,JAMIE GREEMAN,jamie@eastalamosaws.org;,(BUS) 719-589-2649;
CO0107236,EAST BOULDER COUNTY WD,Reports,BOULDER,A,Community,Purchased Surface Water,No,300,136,PETER O'BRIEN JR,PETER O'BRIEN JR,MARK JOHNS,PRESIDENT@EASTBOULDERWATER.COM;,(BUS) 303-554-0031;
CO0103035,EAST CHERRY CREEK VALLEY WSD,Reports,ARAPAHOE,A,Community,Groundwater,No,55823,19300,GLEN BEDELL,SCOTT NIEBUR,SARA BREWER,sbrewer@eccv.org;,(BUS) 303-693-3800;
CO0159045,EAST DILLON WD,Reports,SUMMIT,A,Community,Groundwater UDI Surface Water,No,2501,1515,MARK ROFFEY,RONALD G MENTCH,THOMAS C OBERHEIDE,ADMIN@EASTDILLON.COM;,(BUS) 970-468-6256;
CO0145120,EAST END WA,Reports,OTERO,A,Community,Groundwater,No,70,28,JAMES MARTIN,JAMES MARTIN,JERRY BAY,bayfarms@hotmail.com;,(BUS) 719-853-6578;
CO0122450,EAST FLORENCE WA,Reports,FREMONT,A,Community,Purchased Surface Water,No,326,115,TONYA J HAMMEL,null,TONYA J HAMMEL,joehammel@outlook.com;,(BUS) 719-251-3253;
CO0135233,EAST LARIMER COUNTY WD,Reports,LARIMER,A,Community,Purchased Surface Water,No,20503,6703,JEREMY CAMPAGNARO,null,RANDY SIDDENS,RANDYS@ELCOWATER.ORG;,(BUS) 970-493-2044;
CO0103040,EAST VALLEY MD,Reports,ARAPAHOE,A,Community,Groundwater,No,230,100,ROBERT CLODFELTER,ROBERT CLODFELTER,BETH CLODFELTER,prowaterservices@aol.com;,(BUS) 303-472-3090;
CO0101234,EASTERN ADAMS CO MD,Reports,ADAMS,A,Community,Groundwater,No,1183,520,R WAYNE RAMEY,R WAYNE RAMEY,MIKE SERRA III,MIKE.SERRA@PAULSCORP.COM;,(BUS) 303-371-9000;
CO0203233,EASTERN SERVICE CENTER,Reports,ARAPAHOE,A,"Non-Transient, Non-Community",Groundwater,No,30,3,TRACY MATTERN,TRACY MATTERN,MATT LANGRIDGE,MLANGRIDGE1@ACWWA.COM;,(BUS) 303-790-4830;
CO0101034,EASTGATE VILLAGE MANUFACTURED HOMES,Reports,ADAMS,A,Community,Purchased Groundwater UDI Surface Water,No,1500,457,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,FRANK MICHEL,fmichel@lautrecltd.com;,(BUS) 248-737-1425;
CO0108800,EASTSIDE MHP,Reports,CHAFFEE,A,Community,Groundwater,No,40,40,JUSTIN WATTS,JUSTIN WATTS,RYNN MAR MILLER,rynnmar1@gmail.com;,(BUS) 719-588-4892;
CO0234234,EASY WATER LLC,Reports,LA PLATA,A,Community,Purchased Surface Water,YES,154,18,null,null,ERIC GRAVES,easywaterllc@gmail.com;,(BUS) 970-317-9625;
CO0162233,EATON TOWN OF,Reports,WELD,A,Community,Purchased Surface Water,No,6000,1800,ROBERT ALAN LIND,null,WESLEY LAVANCHY,WESLEY@EATONCO.ORG;,(BUS) 970-454-3338;
CO0163001,ECKLEY TOWN OF,Reports,YUMA,A,Community,Groundwater,No,285,156,NICK NEWTON,NICK NEWTON,AILEENE VANCE,ECKLEYTOWNHALL@PLAINSTEL.COM;,(BUS) 970-359-2222;
CO0135237,EDEN VALLEY INSTITUTE,Reports,LARIMER,A,Community,Surface Water,No,91,21,DARRELL E BATES,DARRELL E BATES,DARRELL E BATES,btsdrrll@hotmail.com;,(BUS) 970-667-0809;
CO0134200,EDGEMONT RANCH MD,Reports,LA PLATA,A,Community,Surface Water,No,1200,432,MICHAEL LANCIANESE,ROBERT P LUDWIG,ROBERT P LUDWIG,ROBERT@EDGEMONTRANCH.COM; RPLUDWIG.RL@GMAIL.COM;,null
CO0130237,EDGEWATER CITY OF,Reports,JEFFERSON,A,Community,Purchased Surface Water,No,5300,1482,R WAYNE RAMEY,null,KIT LAMMERS,klammers@edewaterco.com;,(BUS) 720-763-3008;
CO0221300,EDISON SCHOOL DISTRICT 54JT,Reports,EL PASO,A,"Non-Transient, Non-Community",Groundwater,No,318,6,WILL S PARKER,WILL S PARKER,WILL S PARKER,WILLSEMOCOR@HOTMAIL.COM;,(BUS) 303-681-2253;
CO0119246,EL JEBEL MHP,Reports,EAGLE,A,Community,Groundwater UDI Surface Water,No,1962,333,ALAN D LESLIE,ALAN D LESLIE,PRENTICE HUBBELL,PRENTICE@ELJEBEL.CO;,(BUS) 970-948-0835;
CO0136249,EL MORO HOEHNE PIPELINE ASSOC,Reports,LAS ANIMAS,A,Community,Purchased Surface Water,No,655,187,CARLOS J WREN,null,KELLI VAN MATRE,ELMOROHOEHNEWATER@HOTMAIL.COM;,(BUS) 719-859-2523;
CO0134210,EL RANCHO FLORIDA MD,Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,400,130,TOM RILEY,TOM RILEY,MARSHA MORELAND,INFO@ELRANCHOFLORIDA.ORG;,(BUS) 970-749-2682;
CO0123248,EL ROCKO MHP,Reports,GARFIELD,A,Community,Groundwater,No,80,34,THOMAS A ZANCANELLA,ANTHONY ZANCANELLA,NATALIE ZANCANELLA,NATALIE@ZA-ENGINEERING.COM; sonny@za-engineering.com;,(BUS) 970-945-5700;
CO0120245,ELBERT COUNTY HWY 86 WD,Reports,ELBERT,A,Community,Groundwater,No,460,114,WILL S PARKER,WILL S PARKER,WILL S PARKER,WILLSEMOCOR@HOTMAIL.COM;,(BUS) 303-681-2253;
CO0134840,ELBERT CREEK WATER CO,Reports,LA PLATA,A,Community,Surface Water,No,750,280,LOGAN HARTLE,LOGAN HARTLE,ANNA CRONA,acrona@theglacierclub.com;,(BUS) 970-382-6787;
CO0120005,ELBERT WSD,Reports,ELBERT,A,Community,Groundwater,No,300,104,WILL S PARKER,WILL S PARKER,BRAD THOMPSON,bmcguire@elbertschool.org;,(BUS) 303-648-3111;
CO0207466,ELDORA MOUNTAIN RESORT,Reports,BOULDER,A,"Non-Transient, Non-Community",Surface Water,No,3386,7,RANDY NEWQUIST,RANDY NEWQUIST,BRENT TREGASKIS,BRENT@ELDORA.COM;,(BUS) 303-440-8700;
CO0107246,ELDORADO ARTESIAN SPRING INC,Reports,BOULDER,A,Community,Groundwater,No,259,60,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0142241,ELEGANT HILLS MHP,Reports,MONTEZUMA,A,Community,Purchased Surface Water,No,170,65,EDWARD C KRAMER,null,MARISELA ORNELAS,EHPESTATES@GMAIL.COM;,(BUS) 760-419-1901;
CO0121200,ELEPHANT ROCK MHP,Reports,EL PASO,A,Community,Groundwater,No,60,28,PAUL E GRANT II,PAUL E GRANT II,PAUL E GRANT II,p.grant@headwaysconsultants.net;,(BUS) 303-246-5254;
CO0130025,ELEVADO ESTATES LLC,Reports,JEFFERSON,A,Community,Groundwater,No,250,76,RON KRUEGER,RON KRUEGER,PAM KRUEGER,info@cc-wt.com;,(BUS) 720-234-3734;
CO0247017,ELEVEN MILE RANCH HOA,Reports,PARK,A,Community,Groundwater UDI Surface Water,No,89,72,CHERYL A KRAMP,CHERYL A KRAMP,BRUCE SONNENFELD,Sonnenfeldpres@elevenmile.net;,(BUS) 303-499-6663;
CO0120010,ELIZABETH TOWN OF,Reports,ELBERT,A,Community,Groundwater,No,1435,593,KEN TIMM,KEN TIMM,MICHAEL DEVOL,MDEVOL@TOWNOFELIZABETH.ORG;,(BUS) 303-646-0916;
CO0230290,ELK CREEK ELEM SCHOOL,Reports,JEFFERSON,A,"Non-Transient, Non-Community",Surface Water,No,600,1,RAY COSBY,RAY COSBY,RAY COSBY,RAY.COSBY@JEFFCO.K12.CO.US;,(BUS) 303-789-1549;
CO0146592,ELK MEADOWS ESTATES,Reports,OURAY,A,Community,Groundwater UDI Surface Water,No,215,100,JAMES HAYFORD,JAMES HAYFORD,MAGGIE GUSCOTT,EMHOA.TREASURER@GMAIL.COM;,(BUS) 970-626-9806;
CO0157244,ELK RUN HOMEOWNERS CORPORATION,Reports,SAN MIGUEL,A,Community,Groundwater,No,60,15,ROBERT HAINING,ROBERT HAINING,ROBERT HAINING,RHAINING@MTNVILLAGE.ORG;,(BUS) 970-729-3419;
CO0123485,ELK SPRINGS HOA,Reports,GARFIELD,A,Community,Groundwater,No,186,82,ALAN D LESLIE,ALAN D LESLIE,ANDREA SCHOBER,ELKSPRINGSHOAPRESIDENT@YAHOO.COM;,(BUS) 970-930-5889;
CO0125246,ELK VALLEY OLYMPIC VILLAGE,Reports,GRAND,A,Community,Groundwater,No,75,20,R PAUL STRAUSS,R PAUL STRAUSS,GREG KAILOF,null,(BUS) 402-369-2512;
CO0120244,ELKHORN RANCH MD NO 1,Reports,ELBERT,A,Community,Groundwater,No,530,204,JOE T GARDNER,JOE T GARDNER,MATT LANGRIDGE,MLANGRIDGE1@ACWWA.COM;,(BUS) 303-790-4830;
CO0221350,ELLICOTT ELEM SR HIGH SCHOOL,Reports,EL PASO,A,"Non-Transient, Non-Community",Groundwater,No,1114,1,JEREMY GARDNER,JEREMY GARDNER,DAVE SANGER,davesanger@ellicottschools.org;,(BUS) 719-683-2700;
CO0121245,ELLICOTT UTILITIES COMPANY LLC,Reports,EL PASO,A,Community,Purchased Groundwater,No,272,109,PHILLIP W CROMWELL,PHILLIP W CROMWELL,PHILLIP W CROMWELL,TREISTUMP@YAHOO.COM;,(BUS) 719-499-9993;
CO0110010,EMPIRE TOWN OF,Reports,CLEAR CREEK,A,Community,Surface Water,No,500,107,R WAYNE RAMEY,R WAYNE RAMEY,WENDY KOCH,CLERK@EMPIRECOGOV.US; MAYOR@EMPIRECOLORADO.GOV;,(BUS) 303-569-2978; (BUS) 303-884-0577;
CO0103045,ENGLEWOOD CITY OF,Reports,ARAPAHOE,A,Community,Surface Water,No,46541,10722,ADAM KAUFMAN,BRIAN BALADAD,LAUREN K WORLEY,lworley@englewoodco.gov;,(BUS) 303-762-2685;
CO0162255,ERIE TOWN OF,Reports,BOULDER,A,Community,Surface Water,No,32829,9618,BRUCE CHAMEROY,KYLE KELLER,TODD FESSENDEN,TFESSENDEN@ERIECO.GOV;,(BUS) 303-926-2895;
CO0101031,ESTATES AT BROMLEY,Reports,ADAMS,A,Community,Groundwater,No,150,56,PETER O'BRIEN JR,PETER O'BRIEN JR,MARTIN WILLIAMS,martin-williams@msn.com;,(BUS) 720-515-1310;
CO0135257,ESTES PARK TOWN OF,Reports,LARIMER,A,Community,Surface Water,No,16722,8399,CHRISTOPHER L ESHELMAN,CHRISTOPHER L ESHELMAN,CHRISTOPHER L ESHELMAN,CESHELMAN@ESTES.ORG;,(BUS) 970-412-2533; (BUS) 970-577-3630;
CO0145150,EUREKA WC,Reports,OTERO,A,Community,Groundwater,No,498,147,RICK DELL,RICK DELL,RICK DELL,rick.dell22@gmail.com;,(BUS) 719-468-2355;
CO0162260,EVANS CITY OF,Reports,WELD,A,Community,Purchased Surface Water,No,19369,6896,DAVID LEWIS,DAVID LEWIS,SCOTT SANDRIDGE,ssandridge@evanscolorado.gov;,(BUS) 970-475-1181;
CO0130030,EVERGREEN MD,Reports,JEFFERSON,A,Community,Surface Water,No,15750,4403,MICHAEL LEVY,GARRY JEFFREY,DAVE LIGHTHART,dlighthart@evergreenmetro.org;,(BUS) 303-674-4112;
CO0230300,EVERGREEN SOUTH,Reports,JEFFERSON,A,"Non-Transient, Non-Community",Groundwater,No,80,1,NORMAN LEWIS,NORMAN LEWIS,NORMAN LEWIS,NORM@HCH2o.COM;,(BUS) 303-670-7146;
CO0147030,FAIRPLAY MHP,Reports,PARK,A,Community,Groundwater,No,107,86,DAVID STANFORD,DAVID STANFORD,YOEL KELMAN,yoel@threepillarcommunities.com;,(BUS) 443-983-2115;
CO0147020,FAIRPLAY TOWN OF,Reports,PARK,A,Community,Groundwater,No,875,490,MARTIN DELINE,MARTIN DELINE,JANELL SCIACCA,jsciacca@fairplayco.us;,(BUS) 719-836-2622;
CO0121240,FALCON HEIGHTS POA,Reports,EL PASO,A,Community,Groundwater,No,300,148,CHARLES KLINGLER,CHARLES KLINGLER,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0121247,FALCON HIGHLANDS MD,Reports,EL PASO,A,Community,Groundwater,No,1050,390,RAFAEL ESPARZA,RAFAEL ESPARZA,JOSH MILLER,josh.miller@claconnect.com;,(BUS) 719-635-0330;
CO0134240,FALLS CREEK RANCH NO 1,Reports,LA PLATA,A,Community,Groundwater,No,110,57,RAY SMITH,RAY SMITH,ELBERT REDFORD,EREDFORD@REDFORDASSOCIATES.COM;,(BUS) 970-946-7005;
CO0134270,FALLS CREEK RANCH NO 2,Reports,LA PLATA,A,Community,Groundwater,No,74,35,RAY SMITH,RAY SMITH,ELBERT REDFORD,EREDFORD@REDFORDASSOCIATES.COM;,(BUS) 970-946-7005;
CO0159050,FARMERS KORNER MHP,Reports,SUMMIT,A,Community,Groundwater,No,159,35,MATTHEW WILLITTS,MATTHEW WILLITTS,LORI CUTUNILLI,FARMERSKORNERMHP@GMAIL.COM;,(BUS) 970-485-0819;
CO0145180,FAYETTE WC,Reports,OTERO,A,Community,Groundwater,No,75,25,KENNETH W WILSON,KENNETH W WILSON,CAROL WILSON,CLEOKATRA@HOTMAIL.COM;,(BUS) 719-462-5525;
CO0101055,FEDERAL HEIGHTS CITY OF,Reports,ADAMS,A,Community,Groundwater,No,11678,1335,DONALD STAHURSKI,DONALD STAHURSKI,DONALD STAHURSKI,dstahurski@fedheights.org;,(BUS) 303-428-0422;
CO0162476,FIRESTONE TOWN OF,Reports,WELD,A,Community,Purchased Surface Water,No,17792,4010,R WAYNE RAMEY,R WAYNE RAMEY,JULIE PASILLAS,jpasillas@firestoneco.gov;,(BUS) 720-745-2824;
CO0132010,FLAGLER TOWN OF,Reports,KIT CARSON,A,Community,Groundwater,No,2160,300,JUSTIN CRISP,JUSTIN CRISP,JUSTIN CRISP,FLAGLERSHOP@ESRTA.COM;,(BUS) 719-349-1866;
CO0138010,FLEMING TOWN OF,Reports,LOGAN,A,Community,Groundwater,No,446,168,DAVID R BECK,DAVID R BECK,KEITH BECK,fleming@haxtuntel.net;,(BUS) 970-265-2692;
CO0122500,FLORENCE CITY OF,Reports,FREMONT,A,Community,Surface Water,No,7495,1986,BRANDON HARRIS,BRANDON HARRIS,BRANDON HARRIS,BRANDON.HARRIS@FLORENCECOLORADO.ORG;,(BUS) 719-784-0617;
CO0134300,FLORIDA RIVER ESTATES HOA INC,Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,239,90,MARK FUSON,MARK FUSON,MARK FUSON,mfuson265@gmail.com;,(BUS) 970-398-5540;
CO0160175,FLORISSANT WSD,Reports,TELLER,A,Community,Groundwater UDI Surface Water,No,250,95,DAVID STANFORD,DAVID STANFORD,CATHY VALDEZ,CATHYVALDEZ35@OUTLOOK.COM; cannvaldez35@outlook.com;,(BUS) 719-660-1599;
CO0115286,FOOTHILLS #2 WATER COMPANY,Reports,DELTA,A,Community,Purchased Surface Water,No,57,23,WILLIAM L HABENICHT,WILLIAM L HABENICHT,ART VIGUERIA,vigueria@tds.net;,null
CO0160176,FOREST GLEN SPORTS ASSOC INC,Reports,TELLER,A,Community,Groundwater UDI Surface Water,No,76,45,CHERYL A KRAMP,CHERYL A KRAMP,CHERYL A KRAMP,cakramp@aol.com;,(BUS) 719-659-1084;
CO0130033,FOREST HILLS MD  RIVA CHASE,Reports,JEFFERSON,A,Community,Groundwater,No,400,148,JORDAN HERZING,JORDAN HERZING,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0134360,FOREST LAKES MD,Reports,LA PLATA,A,Community,Groundwater,No,1972,772,MARK FUSON,MARK FUSON,KEITH ROUNTREE,MANAGER@FLMD.COM;,(BUS) 970-884-2925;
CO0121360,FOREST LAKES MD,Reports,EL PASO,A,Community,Surface Water,No,294,111,JOSEPH LOPEZ,JOSEPH LOPEZ,ANN NICHOLS,ANICHOLSDUFFY@AOL.COM;,(BUS) 719-327-5810;
CO0121250,FOREST VIEW ACRES WD,Reports,EL PASO,A,Community,Surface Water,No,772,309,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,JOEL MEGGERS,jmeggers@crsofcolorado.com; RSPRESSER@PESTERMARKETING.COM; DRODRIGUEZ@CRSOFCOLORADO.COM;,(BUS) 303-381-4960;
CO0134330,FORREST GROVE ESTATES,Reports,LA PLATA,A,Community,Groundwater,No,115,65,FRED STEPHENSON,FRED STEPHENSON,STAN DUNLAP,s_dunlap@frontier.net;,(BUS) 970-247-0028;
CO0106900,FORT LYON,Reports,BENT,A,Community,Groundwater,No,300,55,ROY E DAVIS,ROY E DAVIS,WILLIAM PATTERSON,william.patterson.flbc@gmail.com;,(BUS) 719-662-1102;
CO0121275,FOUNTAIN CITY OF,Reports,EL PASO,A,Community,Groundwater,No,25130,8500,JUSTIN MOORE,JUSTIN MOORE,JUSTIN MOORE,JUSTIN@FOUNTAINCOLORADO.ORG;,(BUS) 719-322-2073;
CO0121300,FOUNTAIN VALLEY AUTHORITY,Reports,EL PASO,A,Community,Surface Water,No,13,5,null,SAGE CHURCH,RENEE SCHROEDER,RSCHROEDER@CSU.ORG;,(BUS) 719-668-4587;
CO0223279,FOUR MILE RANCH HOA,Reports,GARFIELD,A,Community,Groundwater,No,70,23,ANTHONY ZANCANELLA,ANTHONY ZANCANELLA,ANTHONY ZANCANELLA,awz@za-engineering.com;,(BUS) 970-945-5700;
CO0145210,FOWLER TOWN OF,Reports,OTERO,A,Community,Groundwater UDI Surface Water,No,1169,709,LEONARD H TALKINGTON,LEONARD H TALKINGTON,KELLY LOTRICH,ADMINISTRATOR@FOWLERCOLORADO.COM;,(BUS) 719-263-4461;
CO0235285,FOX ACRES COMM SERV CORP,Reports,LARIMER,A,"Non-Transient, Non-Community",Groundwater,No,306,106,RICHARD L HOPP,RICHARD L HOPP,TED CARTER,tcarterfcco@msn.com;,(BUS) 970-881-2668;
CO0154285,FOX ESTATES HOA,Reports,ROUTT,A,Community,Groundwater,No,50,34,TIM GIBBONS,TIM GIBBONS,TIM GIBBONS,suekimes@hotmail.com;,(BUS) 970-736-1080;
CO0162285,FOX HILLS HOA,Reports,WELD,A,Community,Groundwater,No,44,17,DAN MICHAEL,DAN MICHAEL,LONNIE ZLOMKE,llzlomke@gmail.com;,(BUS) 303-710-1663;
CO0123295,FOX RUN MEADOWS HOA,Reports,EAGLE,A,Community,Groundwater,No,36,17,ALAN D LESLIE,ALAN D LESLIE,LINDA LESLIE,EPC@ENVIRONMENTALPROCESSCONTROL.COM;,(BUS) 970-963-8393;
CO0103050,FOXRIDGE FARMS MHP,Reports,ARAPAHOE,A,Community,Groundwater,No,1440,481,THOMAS DEA,THOMAS DEA,SARAH RODRIQUEZ,sarahr@ascentia.us;,(BUS) 303-730-2000;
CO0218006,FRANKTOWN ELEM SCHOOL,Reports,DOUGLAS,A,"Non-Transient, Non-Community",Groundwater,No,365,1,TERRY L ANDERSON,TERRY L ANDERSON,TERRY L ANDERSON,tanderson@dcsdk12.org;,(BUS) 303-241-4281;
CO0125288,FRASER TOWN OF,Reports,GRAND,A,Community,Groundwater,No,2150,1151,ADAM CWIKLIN,ADAM CWIKLIN,RUSSELL PENNINGTON,RPENNINGTON@TOWN.FRASER.CO.US;,(BUS) 970-726-5491;
CO0162288,FREDERICK TOWN OF,Reports,WELD,A,Community,Purchased Surface Water,No,15727,4262,R WAYNE RAMEY,null,KENT VAN DYNE,KVANDYNE@FREDERICKCO.GOV;,(BUS) 720-382-5801;
CO0234388,FREEMAN CREEK,Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,88,49,JESSE BARRON,JESSE BARRON,STEVE WALB,SNWALB@YAHOO.COM;,(BUS) 602-489-4969;
CO0162275,FRIENDLY VILLAGE OF GREELEY MHP,Reports,WELD,A,Community,Purchased Surface Water,No,660,220,null,null,CHRISTIAN LEIBA,friendlyvillage@rhp.com;,(BUS) 970-353-9985;
CO0101283,FRIENDLY VILLAGE OF THE ROCKIES,Reports,ADAMS,A,Community,Purchased Surface Water,No,1046,524,PAUL E GRANT II,PAUL E GRANT II,KIM BRIGHT,FVROCKIESMANAGER@KMCMH.COM;,(BUS) 720-583-6871;
CO0207151,FRIENDS SCHOOL,Reports,BOULDER,A,"Non-Transient, Non-Community",Groundwater,No,39,9,PETER O'BRIEN JR,PETER O'BRIEN JR,ZAK HUFFAKER,zhuffaker@friendsschoolboulder.org;,(BUS) 415-840-5386;
CO0159055,FRISCO TOWN OF,Reports,SUMMIT,A,Community,Surface Water,No,4495,2047,JEFF GOBLE,JEFF GOBLE,JEFF GOBLE,JEFFG@TOWNOFFRISCO.COM;,(BUS) 970-668-9151;
CO0115288,FRUITLAND DOMESTIC WC,Reports,MONTROSE,A,Community,Surface Water,No,335,151,RONALD C KLASEEN,RONALD C KLASEEN,MISCHELL MCCOLLUM,MMCCOLLUM2@MSN.COM;,(BUS) 970-901-0513;
CO0135291,FT COLLINS CITY OF,Reports,LARIMER,A,Community,Surface Water,No,179901,35866,JAMES J CARDER,MARK KEMPTON,MARK KEMPTON,MKEMPTON@FCGOV.COM;,(BUS) 970-221-6692;
